1.90686495	0.0374
1.91610784	0.0194
2.63266684	0.008
2.64333783	0.0151
2.76648793	0.0052
2.7710592	0.0032
2.90967371	0.0869
2.93917245	0.6708
2.96264612	0.0196
3.25240778	0.0166
3.56667322	0
3.5719078	0.0002
3.66108658	0.0001
3.66730852	0.0005
3.70102184	0.0101
3.71250143	0.0318
3.72071486	0.0282
3.74924377	0.0932
3.77555778	0.0059
3.824707	0.0364
3.82911991	0.0399
3.83830679	0.1587
3.86586012	0.1195
3.88209384	0.0492
3.97376627	0.0446
3.97803225	0.1944
4.02096719	0.5776
4.03237196	1.4743
4.06875174	0.0443
4.09432696	0.5587
4.1248276	0.1691
4.15803552	0.0471
4.16745486	0.0049
4.23325108	0.0325
4.2461135	0.0112
4.32252223	0.0272
4.35264116	0.0792
4.36097934	0.0197
4.37423889	0.0022
4.40535225	0.0349
4.41521525	0.1741
4.42734002	0.0136
4.44417866	0.0099
4.44631087	0.0233
4.44990272	0.019
4.46356337	0.0545
4.50239224	0.0017
4.52073639	0.0009
4.53693902	0.0044
4.54016979	0.0035
